i x y side frame field experiment
7 1038 143 dx 1 0 .
8 1027 160 dx 1 0 .
9 1014 175 dx 1 0 .
10 1007 194 dx 1 0 .
11 1009 217 dx 1 0 .
12 1023 234 dx 1 0 .
13 1020 259 dx 1 0 .
14 1018 280 dx 1 0 .
15 1004 292 dx 1 0 .
16 997 274 dx 1 0 .
17 986 282 dx 1 0 .
18 987 304 dx 1 0 .
19 983 325 dx 1 0 .
20 986 343 dx 1 0 .
21 982 367 dx 1 0 .
22 985 388 dx 1 0 .
23 991 408 dx 1 0 .
24 975 419 dx 1 0 .
25 953 427 dx 1 0 .
26 933 418 dx 1 0 .
27 912 419 dx 1 0 .
28 906 439 dx 1 0 .
29 916 455 dx 1 0 .
30 938 457 dx 1 0 .
31 937 482 dx 1 0 .
32 953 492 dx 1 0 .
33 973 496 dx 1 0 .
34 979 516 dx 1 0 .
35 989 530 dx 1 0 .
36 996 548 dx 1 0 .
37 1001 568 dx 1 0 .
38 1006 588 dx 1 0 .
39 1015 605 dx 1 0 .
40 1023 623 dx 1 0 .
41 1036 637 dx 1 0 .
42 1031 661 dx 1 0 .
43 1016 669 dx 1 0 .
44 1007 688 dx 1 0 .
45 987 689 dx 1 0 .
46 978 703 dx 1 0 .
47 997 706 dx 1 0 .
48 1018 712 dx 1 0 .
49 1006 726 dx 1 0 .
50 1010 741 dx 1 0 .
51 999 757 dx 1 0 .
52 979 757 dx 1 0 .
53 957 758 dx 1 0 .
54 944 774 dx 1 0 .
55 948 795 dx 1 0 .
56 963 807 dx 1 0 .
57 955 824 dx 1 0 .
58 950 845 dx 1 0 .
59 969 852 dx 1 0 .
60 988 861 dx 1 0 .
61 999 873 dx 1 0 .
62 1010 890 dx 1 0 .
63 994 902 dx 1 0 .
64 980 888 dx 1 0 .
65 960 880 dx 1 0 .
66 940 886 dx 1 0 .
67 933 904 dx 1 0 .
68 924 920 dx 1 0 .
69 933 936 dx 1 0 .
70 952 944 dx 1 0 .
71 974 945 dx 1 0 .
72 978 968 dx 1 0 .
73 990 979 dx 1 0 .
74 1009 983 dx 1 0 .
75 1026 990 dx 1 0 .
76 1028 1012 dx 1 0 .
