i frame x field experiment
0 0 -3.9131703552771766 5 dx .
1 0 -3.9131703552771766 5 dx .
2 0 -3.9131703552771766 5 dx .
3 0 -3.9131703552771766 5 dx .
4 0 -3.9131703552771766 5 dx .
5 0 -3.9131703552771766 5 dx .
6 0 -3.9131703552771766 5 dx .
7 0 -3.9131703552771766 5 dx .
8 0 -3.9131703552771766 5 dx .
9 0 -3.9131703552771766 5 dx .
10 0 -3.9131703552771766 5 dx .
11 0 -3.9131703552771766 5 dx .
12 0 -3.9131703552771766 5 dx .
13 0 -3.9131703552771766 5 dx .
14 0 -3.9131703552771766 5 dx .
15 0 -3.9131703552771766 5 dx .
16 0 -3.9131703552771766 5 dx .
17 0 -3.9131703552771766 5 dx .
18 0 -3.9131703552771766 5 dx .
19 0 -3.9131703552771766 5 dx .
20 0 -3.9131703552771766 5 dx .
21 0 -3.9131703552771766 5 dx .
22 0 -3.9131703552771766 5 dx .
23 0 -3.9131703552771766 5 dx .
24 0 -3.9131703552771766 5 dx .
25 0 -3.9131703552771766 5 dx .
26 0 -3.9131703552771766 5 dx .
27 0 -3.9131703552771766 5 dx .
28 0 -3.9131703552771766 5 dx .
29 0 -3.9131703552771766 5 dx .
30 0 -3.9131703552771766 5 dx .
31 0 -3.9131703552771766 5 dx .
32 0 -3.9131703552771766 5 dx .
33 0 -3.9131703552771766 5 dx .
34 0 -3.9131703552771766 5 dx .
35 0 -3.9131703552771766 5 dx .
36 0 -3.9131703552771766 5 dx .
37 0 -3.9131703552771766 5 dx .
38 0 -3.9131703552771766 5 dx .
39 0 -3.9131703552771766 5 dx .
40 0 -3.9131703552771766 5 dx .
41 0 -3.9131703552771766 5 dx .
42 0 -3.9131703552771766 5 dx .
43 0 -3.9131703552771766 5 dx .
44 0 -3.9131703552771766 5 dx .
45 0 -3.9131703552771766 5 dx .
46 0 -3.9131703552771766 5 dx .
47 0 -3.9131703552771766 5 dx .
48 0 -3.9131703552771766 5 dx .
49 0 -3.9131703552771766 5 dx .
50 0 -3.9131703552771766 5 dx .
51 0 -3.9131703552771766 5 dx .
52 0 -3.9131703552771766 5 dx .
53 0 -3.9131703552771766 5 dx .
54 0 -3.9131703552771766 5 dx .
55 0 -3.9131703552771766 5 dx .
56 0 -3.9131703552771766 5 dx .
57 0 -3.9131703552771766 5 dx .
58 0 -3.9131703552771766 5 dx .
59 0 -3.9131703552771766 5 dx .
60 0 -3.9131703552771766 5 dx .
61 0 -3.9131703552771766 5 dx .
62 0 -3.9131703552771766 5 dx .
63 0 -3.9131703552771766 5 dx .
64 0 -3.9131703552771766 5 dx .
65 0 -3.9131703552771766 5 dx .
66 0 -3.9131703552771766 5 dx .
67 0 -3.9131703552771766 5 dx .
68 0 -3.9131703552771766 5 dx .
69 0 -3.9131703552771766 5 dx .
70 0 -3.9131703552771766 5 dx .
71 0 -3.9131703552771766 5 dx .
72 0 -3.9131703552771766 5 dx .
73 0 -3.9131703552771766 5 dx .
74 0 -3.9131703552771766 5 dx .
75 0 -3.9131703552771766 5 dx .
76 0 -3.9131703552771766 5 dx .
77 0 -3.9131703552771766 5 dx .
78 0 -3.9131703552771766 5 dx .
79 0 -3.9131703552771766 5 dx .
80 0 -3.9131703552771766 5 dx .
81 0 -3.9131703552771766 5 dx .
82 0 -3.9131703552771766 5 dx .
83 0 -3.9131703552771766 5 dx .
